sep=,
"Time","Egasi1_maxForce TestiranjeAktuatorja_13092024","Egasi1_minForce TestiranjeAktuatorja_13092024","Egasi_Temperatura TestiranjeAktuatorja_13092024","PresaDelujeINT TestiranjeAktuatorja_13092024","PresaHitrost TestiranjeAktuatorja_13092024","PresaStevec TestiranjeAktuatorja_13092024","Rezerva TestiranjeAktuatorja_13092024","Temperatura okolice TestiranjeAktuatorja_13092024","Temperatura okolice RTD TestiranjeAktuatorja_13092024","Temperatura ohišja aktuatorja TestiranjeAktuatorja_13092024","Temperatura orodja TestiranjeAktuatorja_13092024"
2024-10-15 11:46:49,6.79,6.52,30.3,1,0,42494,-1,25.3,26.3,27.2,25
2024-10-15 11:46:50,6.82,6.75,30.3,1,0,42494,-1,25.3,26.3,27.2,25
2024-10-15 11:46:51,7.04,6.97,30.3,1,0,42494,-1,25.3,26.3,27,24.8
2024-10-15 11:46:52,7.32,7.25,30.3,1,0,42494,-1,25.3,26.3,27,24.8
2024-10-15 11:46:53,7.59,7.52,30.3,1,0,42494,-1,25.2,26.3,27,24.8
2024-10-15 11:46:54,7.87,7.84,30.3,1,0,42494,-1,25.2,26.3,27,24.8
2024-10-15 11:46:55,8.23,8.16,30.3,1,0,42494,-1,25.2,26.3,27,24.8
2024-10-15 11:46:56,8.07,8.01,30.3,1,0,42494,-1,25.2,26.3,27,24.8
2024-10-15 11:46:57,7.94,7.89,30.3,1,0,42494,-1,25.2,26.3,27,24.8
2024-10-15 11:46:58,7.80,7.74,30.3,1,0,42494,-1,25.5,26.3,27,24.9
2024-10-15 11:46:59,7.61,7.53,30.3,1,0,42494,-1,25.5,26.3,27,24.9
2024-10-15 11:47:00,7.38,7.29,30.3,1,0,42494,-1,25.5,26.3,27,24.9
2024-10-15 11:47:01,7.12,7.07,30.3,1,0,42494,-1,25.4,26.3,27,24.9
2024-10-15 11:47:02,6.84,6.76,30.3,1,0,42494,-1,25.4,26.3,27,24.9
2024-10-15 11:47:03,6.51,6.44,30.3,1,0,42494,-1,25.4,26.3,27,24.9
2024-10-15 11:47:04,6.46,6.41,30.3,1,0,42494,-1,25.4,26.3,27.1,24.9
2024-10-15 11:47:05,6.63,6.56,30.3,1,0,42494,-1,25.4,26.3,27.1,24.9
2024-10-15 11:47:06,6.74,6.68,30.3,1,0,42494,-1,25.4,26.3,27.1,24.9
2024-10-15 11:47:07,6.90,6.85,30.3,1,0,42494,-1,25.4,26.3,27.1,24.9
2024-10-15 11:47:08,7.10,7.03,30.3,1,0,42494,-1,25.4,26.3,27.1,24.9
2024-10-15 11:47:09,7.30,7.23,30.3,1,0,42494,-1,25.4,26.3,27.1,24.9
2024-10-15 11:47:10,7.58,7.51,30.3,1,0,42494,-1,25.4,26.3,27.1,25
2024-10-15 11:47:11,7.85,7.82,30.3,1,0,42494,-1,25.3,26.3,27.1,25
2024-10-15 11:47:12,8.24,8.17,30.3,1,0,42494,-1,25.3,26.3,27.1,25
2024-10-15 11:47:13,8.11,8.05,30.3,1,0,42494,-1,25.3,26.3,27.1,25
2024-10-15 11:47:14,8.00,7.94,30.3,1,0,42494,-1,25.3,26.3,27.1,25
2024-10-15 11:47:15,7.86,7.79,30.3,1,0,42494,-1,25.3,26.3,27.1,25
2024-10-15 11:47:16,7.63,7.56,30.3,1,0,42494,-1,25.3,26.3,27.1,24.9
2024-10-15 11:47:17,7.42,7.37,30.3,1,0,42494,-1,25.1,26.3,27.1,24.9
2024-10-15 11:47:18,7.16,7.08,30.3,1,0,42494,-1,25.1,26.3,27.1,24.9
2024-10-15 11:47:19,6.84,6.77,30.3,1,0,42494,-1,25.1,26.3,27.1,24.9
2024-10-15 11:47:20,6.52,6.43,30.3,1,0,42494,-1,25.1,26.3,27.1,24.9
2024-10-15 11:47:21,6.53,6.42,30.3,1,0,42494,-1,25.1,26.3,27.1,24.9
2024-10-15 11:47:22,6.68,6.61,30.3,1,0,42494,-1,25.1,26.3,27.1,24.9
2024-10-15 11:47:23,6.80,6.76,30.3,1,0,42494,-1,25.3,26.3,27.1,24.9
2024-10-15 11:47:24,7.04,6.93,30.3,1,0,42494,-1,25.3,26.3,27.1,24.9
