sep=,
"Time","Egasi1_maxForce TestiranjeAktuatorja_13092024","Egasi1_minForce TestiranjeAktuatorja_13092024","Egasi_Temperatura TestiranjeAktuatorja_13092024","PresaDelujeINT TestiranjeAktuatorja_13092024","PresaHitrost TestiranjeAktuatorja_13092024","PresaStevec TestiranjeAktuatorja_13092024","Rezerva TestiranjeAktuatorja_13092024","Temperatura okolice TestiranjeAktuatorja_13092024","Temperatura okolice RTD TestiranjeAktuatorja_13092024","Temepratura ohišja aktuatorja TestiranjeAktuatorja_13092024","Temepratura orodja TestiranjeAktuatorja_13092024"
2024-10-14 12:06:02,9.36,9.35,34.8,1,0,8,-1,23.2,23.6,26.2,24.4
2024-10-14 12:06:03,9.27,9.26,34.8,1,0,8,-1,23.2,23.6,26.1,24.3
2024-10-14 12:06:04,9.31,9.31,34.8,1,0,8,-1,23.2,23.6,26,24.3
2024-10-14 12:06:05,9.30,9.29,34.8,1,0,8,-1,23.1,23.6,26,24.3
2024-10-14 12:06:06,9.33,9.33,34.8,1,0,8,-1,23.1,23.6,26,24.3
2024-10-14 12:06:07,9.28,9.27,34.8,1,0,8,-1,23.1,23.6,26,24.3
2024-10-14 12:06:08,9.30,9.26,34.8,1,0,8,-1,23.1,23.6,26,24.3
2024-10-14 12:06:09,9.31,9.28,34.8,1,0,8,-1,23.1,23.6,26.2,24.3
2024-10-14 12:06:10,9.25,9.24,34.8,1,0,8,-1,23.3,23.6,26.2,24.4
2024-10-14 12:06:11,9.42,9.42,34.8,1,0,8,-1,23.3,23.7,26.2,24.4
2024-10-14 12:06:12,9.21,9.21,34.8,1,0,8,-1,23.3,23.6,26.2,24.4
2024-10-14 12:06:13,9.29,9.26,34.8,1,0,8,-1,23.3,23.7,26.2,24.4
2024-10-14 12:06:14,9.30,9.28,34.8,1,0,8,-1,23.3,23.7,26.2,24.4
2024-10-14 12:06:15,9.32,9.31,34.8,1,0,8,-1,23.3,23.7,26.1,24.5
2024-10-14 12:06:16,9.23,9.22,34.8,1,0,8,-1,23.2,23.7,26.2,24.5
2024-10-14 12:06:17,9.25,9.25,34.8,1,0,8,-1,23.2,23.6,26.2,24.5
2024-10-14 12:06:18,9.26,9.26,34.8,1,0,8,-1,23.2,23.6,26.2,24.5
2024-10-14 12:06:19,9.26,9.26,34.8,1,0,8,-1,23.2,23.7,26.2,24.4
2024-10-14 12:06:20,9.28,9.27,34.8,1,0,8,-1,23.2,23.7,26.2,24.4
2024-10-14 12:06:21,9.34,9.32,34.8,1,0,8,-1,23.2,23.7,26.2,24.4
2024-10-14 12:06:22,9.27,9.26,34.8,1,0,8,-1,23.2,23.7,26.2,24.4
2024-10-14 12:06:23,9.26,9.25,34.8,1,0,8,-1,23.4,23.7,26.2,24.4
2024-10-14 12:06:24,9.41,9.30,34.8,1,0,8,-1,23.4,23.7,26.2,24.4
2024-10-14 12:06:25,9.35,9.35,34.8,1,0,8,-1,23.4,23.6,26.2,24.4
2024-10-14 12:06:26,9.33,9.33,34.8,1,0,8,-1,23.4,23.6,26.2,24.4
2024-10-14 12:06:27,9.25,9.25,34.8,1,0,8,-1,23.4,23.7,26.2,24.4
2024-10-14 12:06:28,9.29,9.27,34.8,1,0,8,-1,23.4,23.7,26.1,24.4
2024-10-14 12:06:29,9.27,9.27,34.8,1,0,8,-1,23.4,23.7,26.1,24.4
2024-10-14 12:06:30,9.25,9.25,34.8,1,0,8,-1,23.4,23.7,26.1,24.4
2024-10-14 12:06:31,9.28,9.25,34.8,1,0,8,-1,23.4,23.6,26.1,24.4
2024-10-14 12:06:32,9.33,9.24,34.8,1,0,8,-1,23.4,23.7,26.1,24.4
2024-10-14 12:06:33,9.34,9.27,34.8,1,0,8,-1,23.4,23.7,26.1,24.4
