Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
0;-0,308;1,071;1,086;0,214;-0,013;0;;;;Root;DataStructureVersion;String;"V1.0"
0,8125;-0,283;1,065;1,191;0,213;-0,016;0;;;;Root;DataColumnCount;Integer;7
1,625;-0,336;1,067;0,026;0,213;-0,013;0;;;;Root;Format;Group;
2,4375;-0,295;1,066;1,01;0,213;-0,014;0;;;;Format;ListSeparator;String;";"
3,25;-0,274;1,08;-1,62;0,216;-0,015;0;;;;Format;DecimalSeparator;String;","
4,0625;-0,325;1,077;-1,4;0,215;-0,013;0;;;;Format;GroupSeparator;String;"."
4,875;-0,292;1,081;0,17;0,216;-0,014;0;;;;Root;Header;Group;
5,6875;-0,266;1,073;0,511;0,214;-0,015;0;;;;Header;ContentDescription;String;Kollmorgen WorkBench Scope
6,5;-0,328;1,063;0,262;0,212;-0,012;0;;;;Header;UserNote;String;
7,3125;-0,28;1,068;-0,384;0,213;-0,015;0;;;;Header;ExportDate;DateTime;2024-10-15 09:29:59 UTC
8,125;-0,309;1,064;-0,113;0,212;-0,014;0;;;;Root;XYTraceSources;Array(Group);6
8,9375;-0,329;1,076;0,241;0,215;-0,013;0;;;;XYTraceSources;XYTraceSource[0];Group;
9,75;-0,274;1,086;-3,435;0,217;-0,017;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;0
10,5625;-0,284;1,071;-0,205;0,214;-0,014;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;1
11,375;-0,309;1,083;0,927;0,216;-0,013;0;;;;XYTraceSource[0];Name;String;[Axis1] Current feedback
12,1875;-0,265;1,071;-1,66;0,214;-0,017;0;;;;XYTraceSource[0];Unit;String;Arms
13;-0,303;1,064;1,938;0,212;-0,015;0;;;;XYTraceSource[0];DeviceName;String;"IL.FB"
13,8125;-0,299;1,081;1,838;0,216;-0,013;0;;;;XYTraceSource[0];FilterRequired;Boolean;False
14,625;-0,272;1,065;2,206;0,213;-0,016;0;;;;XYTraceSource[0];FilterFrequency;Integer;400
15,4375;-0,311;1,084;0,733;0,216;-0,013;0;;;;XYTraceSources;XYTraceSource[1];Group;
16,25;-0,281;1,074;2,463;0,214;-0,014;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;0
17,0625;-0,249;1,068;-0,571;0,213;-0,017;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;2
17,875;-0,297;1,076;1,012;0,215;-0,013;0;;;;XYTraceSource[1];Name;String;[Axis1] Velocity command
18,6875;-0,265;1,07;-0,59;0,214;-0,014;0;;;;XYTraceSource[1];Unit;String;mm/s
19,5;-0,243;1,082;0,248;0,216;-0,016;0;;;;XYTraceSource[1];DeviceName;String;"VL.CMD"
20,3125;-0,304;1,082;-0,594;0,216;-0,014;0;;;;XYTraceSource[1];FilterRequired;Boolean;False
21,125;-0,266;1,083;0,402;0,216;-0,016;0;;;;XYTraceSource[1];FilterFrequency;Integer;400
21,9375;-0,257;1,084;-1,82;0,216;-0,016;0;;;;XYTraceSources;XYTraceSource[2];Group;
22,75;-0,285;1,066;2,155;0,213;-0,013;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;0
23,5625;-0,232;1,076;-0,227;0,215;-0,017;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;3
24,375;-0,262;1,071;-0,093;0,214;-0,015;0;;;;XYTraceSource[2];Name;String;[Axis1] Velocity feedback
25,1875;-0,293;1,075;1,024;0,215;-0,013;0;;;;XYTraceSource[2];Unit;String;mm/s
26;-0,246;1,085;-0,256;0,217;-0,016;0;;;;XYTraceSource[2];DeviceName;String;"VL.FB"
26,8125;-0,27;1,078;-0,326;0,215;-0,015;0;;;;XYTraceSource[2];FilterRequired;Boolean;False
27,625;-0,266;1,086;3,083;0,217;-0,014;0;;;;XYTraceSource[2];FilterFrequency;Integer;400
28,4375;-0,229;1,079;-0,094;0,215;-0,017;0;;;;XYTraceSources;XYTraceSource[3];Group;
29,25;-0,291;1,066;0,854;0,213;-0,014;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;0
30,0625;-0,265;1,075;2,214;0,215;-0,015;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;4
30,875;-0,227;1,073;0,038;0,214;-0,017;0;;;;XYTraceSource[3];Name;String;[Axis1] Position error
31,6875;-0,28;1,09;-1,776;0,218;-0,014;0;;;;XYTraceSource[3];Unit;String;mm
32,5;-0,258;1,077;1,519;0,215;-0,015;0;;;;XYTraceSource[3];DeviceName;String;"PL.ERR"
33,3125;-0,221;1,071;-0,323;0,214;-0,018;0;;;;XYTraceSource[3];FilterRequired;Boolean;False
34,125;-0,284;1,08;-0,003;0,216;-0,014;0;;;;XYTraceSource[3];FilterFrequency;Integer;400
34,9375;-0,224;1,075;-2,228;0,215;-0,016;0;;;;XYTraceSources;XYTraceSource[4];Group;
35,75;-0,231;1,083;0,325;0,216;-0,016;0;;;;XYTraceSource[4];XDataColumnIndex;Integer;0
36,5625;-0,272;1,087;-3,332;0,217;-0,015;0;;;;XYTraceSource[4];XDataColumnIndex;Integer;5
37,375;-0,217;1,09;-2,401;0,218;-0,017;0;;;;XYTraceSource[4];Name;String;[Axis1] Position feedback
38,1875;-0,25;1,081;0,525;0,216;-0,015;0;;;;XYTraceSource[4];Unit;String;mm
39;-0,266;1,07;-0,05;0,214;-0,014;0;;;;XYTraceSource[4];DeviceName;String;"PL.FB"
39,8125;-0,208;1,073;-1,56;0,214;-0,016;0;;;;XYTraceSource[4];FilterRequired;Boolean;False
40,625;-0,243;1,07;1,344;0,214;-0,015;0;;;;XYTraceSource[4];FilterFrequency;Integer;400
41,4375;-0,262;1,069;1,747;0,213;-0,013;0;;;;XYTraceSources;XYTraceSource[5];Group;
42,25;-0,215;1,085;0,436;0,217;-0,016;0;;;;XYTraceSource[5];XDataColumnIndex;Integer;0
43,0625;-0,258;1,079;1,07;0,215;-0,015;0;;;;XYTraceSource[5];XDataColumnIndex;Integer;6
43,875;-0,239;1,087;0,214;0,217;-0,015;0;;;;XYTraceSource[5];Name;String;[Axis1] External feed-forward
44,6875;-0,204;1,079;0,518;0,215;-0,018;0;;;;XYTraceSource[5];Unit;String;Arms
45,5;-0,25;1,075;0,772;0,215;-0,015;0;;;;XYTraceSource[5];DeviceName;String;"IL.BUSFF"
46,3125;-0,228;1,085;-0,106;0,216;-0,014;0;;;;XYTraceSource[5];FilterRequired;Boolean;False
47,125;-0,205;1,074;-1,911;0,214;-0,016;0;;;;XYTraceSource[5];FilterFrequency;Integer;400
47,9375;-0,261;1,078;2,439;0,215;-0,014;0;;;;;;;
48,75;-0,223;1,087;-1,955;0,217;-0,015;0;;;;;;;
49,5625;-0,209;1,069;-0,611;0,213;-0,015;0;;;;;;;
50,375;-0,242;1,081;-0,809;0,216;-0,014;0;;;;;;;
51,1875;-0,19;1,07;-1,744;0,214;-0,016;0;;;;;;;
52;-0,213;1,077;-0,563;0,215;-0,017;0;;;;;;;
52,8125;-0,241;1,089;-1,082;0,217;-0,013;0;;;;;;;
53,625;-0,201;1,084;-1,639;0,216;-0,018;0;;;;;;;
54,4375;-0,216;1,089;-2,331;0,217;-0,016;0;;;;;;;
55,25;-0,232;1,077;-1,856;0,215;-0,015;0;;;;;;;
56,0625;-0,182;1,07;3,027;0,214;-0,017;0;;;;;;;
56,875;-0,224;1,072;0,371;0,214;-0,016;0;;;;;;;
57,6875;-0,214;1,074;-0,891;0,214;-0,015;0;;;;;;;
58,5;-0,173;1,086;1,154;0,217;-0,017;0;;;;;;;
59,3125;-0,239;1,082;-0,091;0,216;-0,015;0;;;;;;;
60,125;-0,202;1,085;2,37;0,217;-0,015;0;;;;;;;
60,9375;-0,173;1,074;1,045;0,214;-0,018;0;;;;;;;
61,75;-0,227;1,076;0,184;0,215;-0,014;0;;;;;;;
62,5625;-0,198;1,079;-0,273;0,215;-0,016;0;;;;;;;
63,375;-0,179;1,066;1,767;0,213;-0,016;0;;;;;;;
64,1875;-0,224;1,086;-0,299;0,217;-0,013;0;;;;;;;
65;-0,17;1,09;0,206;0,217;-0,015;0;;;;;;;
65,8125;-0,195;1,073;0,282;0,214;-0,016;0;;;;;;;
66,625;-0,217;1,091;-0,432;0,218;-0,015;0;;;;;;;
67,4375;-0,164;1,071;2,284;0,214;-0,018;0;;;;;;;
68,25;-0,189;1,08;-0,582;0,216;-0,015;0;;;;;;;
69,0625;-0,219;1,082;1,618;0,216;-0,013;0;;;;;;;
69,875;-0,163;1,081;-0,328;0,216;-0,017;0;;;;;;;
70,6875;-0,194;1,086;-0,498;0,217;-0,014;0;;;;;;;
71,5;-0,195;1,079;-1,537;0,215;-0,014;0;;;;;;;
72,3125;-0,153;1,068;-0,014;0,213;-0,017;0;;;;;;;
73,125;-0,204;1,082;-1,071;0,216;-0,014;0;;;;;;;
73,9375;-0,172;1,071;1,265;0,214;-0,015;0;;;;;;;
74,75;-0,156;1,087;1,39;0,217;-0,017;0;;;;;;;
75,5625;-0,208;1,085;-1,59;0,217;-0,015;0;;;;;;;
76,375;-0,174;1,084;1,376;0,216;-0,016;0;;;;;;;
77,1875;-0,149;1,093;-0,919;0,218;-0,017;0;;;;;;;
78;-0,2;1,076;0,648;0,215;-0,014;0;;;;;;;
78,8125;-0,148;1,087;-1,586;0,217;-0,016;0;;;;;;;
79,625;-0,172;1,07;0,135;0,214;-0,016;0;;;;;;;
80,4375;-0,19;1,082;-1,339;0,216;-0,015;0;;;;;;;
81,25;-0,145;1,083;0,614;0,216;-0,017;0;;;;;;;
82,0625;-0,159;1,077;-2,556;0,215;-0,017;0;;;;;;;
82,875;-0,182;1,091;1,924;0,218;-0,016;0;;;;;;;
83,6875;-0,127;1,076;1,448;0,215;-0,019;0;;;;;;;
84,5;-0,167;1,075;-0,343;0,215;-0,016;0;;;;;;;
85,3125;-0,185;1,088;-1,321;0,217;-0,015;0;;;;;;;
86,125;-0,137;1,08;0,118;0,215;-0,018;0;;;;;;;
86,9375;-0,175;1,089;1,338;0,217;-0,015;0;;;;;;;
87,75;-0,157;1,074;1,333;0,214;-0,016;0;;;;;;;
88,5625;-0,119;1,074;1,069;0,214;-0,017;0;;;;;;;
89,375;-0,179;1,075;2,117;0,215;-0,014;0;;;;;;;
90,1875;-0,161;1,069;0,166;0,213;-0,014;0;;;;;;;
91;-0,122;1,081;0,985;0,216;-0,016;0;;;;;;;
91,8125;-0,174;1,09;0,501;0,218;-0,014;0;;;;;;;
92,625;-0,132;1,081;1,675;0,216;-0,015;0;;;;;;;
93,4375;-0,14;1,079;-0,398;0,215;-0,016;0;;;;;;;
94,25;-0,173;1,062;2,357;0,212;-0,013;0;;;;;;;
95,0625;-0,119;1,068;-0,991;0,213;-0,015;0;;;;;;;
95,875;-0,151;1,067;-2,371;0,213;-0,016;0;;;;;;;
96,6875;-0,171;1,072;1,396;0,214;-0,012;0;;;;;;;
97,5;-0,117;1,08;-2,601;0,216;-0,016;0;;;;;;;
