Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
0;1,684;1,045;3,123;0,209;13,792;0;;;;Root;DataStructureVersion;String;"V1.0"
0,8125;1,733;1,034;1,092;0,206;13,793;0;;;;Root;DataColumnCount;Integer;7
1,625;1,693;1,038;0,74;0,207;13,794;0;;;;Root;Format;Group;
2,4375;1,708;1,029;2,131;0,205;13,796;0;;;;Format;ListSeparator;String;";"
3,25;1,727;1,019;2,352;0,203;13,797;0;;;;Format;DecimalSeparator;String;","
4,0625;1,688;1,011;4,226;0,202;13,798;0;;;;Format;GroupSeparator;String;"."
4,875;1,725;1,002;3,091;0,2;13,8;0;;;;Root;Header;Group;
5,6875;1,715;1,003;-0,961;0,2;13,799;0;;;;Header;ContentDescription;String;Kollmorgen WorkBench Scope
6,5;1,673;0,992;2,897;0,198;13,802;0;;;;Header;UserNote;String;
7,3125;1,737;0,995;0,969;0,199;13,802;0;;;;Header;ExportDate;DateTime;2024-10-15 08:33:57 UTC
8,125;1,719;0,984;0,726;0,196;13,803;0;;;;Root;XYTraceSources;Array(Group);6
8,9375;1,669;0,984;0,728;0,196;13,804;0;;;;XYTraceSources;XYTraceSource[0];Group;
9,75;1,737;0,98;-0,239;0,196;13,804;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;0
10,5625;1,711;0,975;1,28;0,195;13,806;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;1
11,375;1,672;0,971;0,645;0,194;13,806;0;;;;XYTraceSource[0];Name;String;[Axis1] Current feedback
12,1875;1,738;0,971;0,409;0,194;13,806;0;;;;XYTraceSource[0];Unit;String;Arms
13;1,711;0,969;1,888;0,194;13,808;0;;;;XYTraceSource[0];DeviceName;String;"IL.FB"
13,8125;1,696;0,967;1,471;0,193;13,807;0;;;;XYTraceSource[0];FilterRequired;Boolean;False
14,625;1,738;0,96;2,219;0,192;13,808;0;;;;XYTraceSource[0];FilterFrequency;Integer;400
15,4375;1,711;0,961;-0,275;0,192;13,809;0;;;;XYTraceSources;XYTraceSource[1];Group;
16,25;1,711;0,959;0,544;0,191;13,81;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;0
17,0625;1,737;0,952;0,582;0,19;13,809;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;2
17,875;1,699;0,952;1,614;0,19;13,81;0;;;;XYTraceSource[1];Name;String;[Axis1] Velocity command
18,6875;1,657;-1,952;3,183;0,187;13,813;0;;;;XYTraceSource[1];Unit;String;mm/s
19,5;1,626;-6,314;-0,487;0,182;13,813;0;;;;XYTraceSource[1];DeviceName;String;"VL.CMD"
20,3125;1,525;-12,152;1,693;0,17;13,816;0;;;;XYTraceSource[1];FilterRequired;Boolean;False
21,125;1,534;-16,556;1,565;0,156;13,816;0;;;;XYTraceSource[1];FilterFrequency;Integer;400
21,9375;1,456;-20,967;2,093;0,141;13,818;0;;;;XYTraceSources;XYTraceSource[2];Group;
22,75;1,367;-25,394;0,743;0,122;13,818;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;0
23,5625;1,354;-31,327;1,508;0,091;13,82;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;3
24,375;1,261;-35,793;1,54;0,065;13,822;0;;;;XYTraceSource[2];Name;String;[Axis1] Velocity feedback
25,1875;1,124;-40,269;-2,176;0,037;13,82;0;;;;XYTraceSource[2];Unit;String;mm/s
26;1,118;-44,741;-8,282;0,01;13,814;0;;;;XYTraceSource[2];DeviceName;String;"VL.FB"
26,8125;1,036;-50,688;-15,025;-0,024;13,802;0;;;;XYTraceSource[2];FilterRequired;Boolean;False
27,625;0,987;-55,141;-20,487;-0,048;13,785;0;;;;XYTraceSource[2];FilterFrequency;Integer;400
28,4375;0,994;-59,593;-23,309;-0,071;13,766;0;;;;XYTraceSources;XYTraceSource[3];Group;
29,25;0,916;-64,052;-29,782;-0,096;13,744;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;0
30,0625;0,854;-70,013;-30,986;-0,132;13,719;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;4
30,875;0,818;-74,48;-36,826;-0,159;13,69;0;;;;XYTraceSource[3];Name;String;[Axis1] Position error
31,6875;0,727;-78,943;-41,146;-0,184;13,657;0;;;;XYTraceSource[3];Unit;String;mm
32,5;0,72;-83,407;-42,607;-0,21;13,621;0;;;;XYTraceSource[3];DeviceName;String;"PL.ERR"
33,3125;0,677;-89,363;-50,102;-0,245;13,58;0;;;;XYTraceSource[3];FilterRequired;Boolean;False
34,125;0,584;-93,834;-52,439;-0,273;13,538;0;;;;XYTraceSource[3];FilterFrequency;Integer;400
34,9375;0,563;-98,311;-55,516;-0,301;13,495;0;;;;XYTraceSources;XYTraceSource[4];Group;
