sep=,
"Time","Egasi1_maxForce TestiranjeAktuatorja_13092024","Egasi1_minForce TestiranjeAktuatorja_13092024","Egasi_Temperatura TestiranjeAktuatorja_13092024","PresaDelujeINT TestiranjeAktuatorja_13092024","PresaHitrost TestiranjeAktuatorja_13092024","PresaStevec TestiranjeAktuatorja_13092024","Rezerva TestiranjeAktuatorja_13092024","Temperatura okolice TestiranjeAktuatorja_13092024","Temperatura okolice RTD TestiranjeAktuatorja_13092024","Temperatura orodja 1 TestiranjeAktuatorja_13092024","Temperatura orodja 2 TestiranjeAktuatorja_13092024"
2024-10-14 08:48:46,28.9,-7.52,34.8,1,0,7,-1,23.6,22.9,23.5,21.5
2024-10-14 08:48:47,28.8,-7.51,34.8,1,0,7,-1,23.6,22.9,23.5,21.5
2024-10-14 08:48:48,28.8,-7.78,34.8,1,0,7,-1,23.5,22.9,23.5,21.5
2024-10-14 08:48:49,28.9,-7.76,34.8,1,0,7,-1,23.5,22.9,23.5,21.5
2024-10-14 08:48:50,28.8,-7.68,34.8,1,0,7,-1,23.5,22.9,23.5,21.5
2024-10-14 08:48:51,28.8,-7.76,34.8,1,0,7,-1,23.5,22.9,23.5,21.5
2024-10-14 08:48:52,28.9,-7.68,34.8,1,0,7,-1,23.5,22.9,23.5,21.5
2024-10-14 08:48:53,28.9,-7.67,34.8,1,0,7,-1,23.7,22.9,23.6,21.5
2024-10-14 08:48:54,28.9,-7.54,34.8,1,0,7,-1,23.7,22.9,23.6,21.5
2024-10-14 08:48:55,28.9,-7.83,34.8,1,0,7,-1,23.7,22.9,23.6,21.5
2024-10-14 08:48:56,28.8,-7.75,34.8,1,0,7,-1,23.7,22.9,23.6,21.5
2024-10-14 08:48:57,29.0,-7.61,34.8,1,0,7,-1,23.7,22.9,23.6,21.5
2024-10-14 08:48:58,29.0,-7.74,34.8,1,0,7,-1,23.7,22.9,23.6,21.6
2024-10-14 08:48:59,29.0,-7.70,34.8,1,0,7,-1,23.7,22.9,23.7,21.6
2024-10-14 08:49:00,28.9,-7.62,34.8,1,0,7,-1,23.7,22.9,23.7,21.6
2024-10-14 08:49:01,28.9,-7.44,34.8,1,0,7,-1,23.7,22.9,23.7,21.6
2024-10-14 08:49:02,28.9,-7.58,34.8,1,0,7,-1,23.7,22.9,23.7,21.6
2024-10-14 08:49:03,29.0,-7.71,34.8,1,0,7,-1,23.7,22.9,23.8,21.6
2024-10-14 08:49:04,28.9,-7.57,34.8,1,0,7,-1,23.7,22.9,23.7,21.6
2024-10-14 08:49:05,29.0,-7.78,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:06,29.0,-7.62,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:07,29.0,-7.59,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:08,29.0,-7.59,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:09,29.1,-7.81,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:10,29.0,-7.65,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:11,29.0,-7.76,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:12,29.0,-7.57,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:13,29.0,-7.72,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:14,29.1,-7.87,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:15,29.0,-7.84,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:16,28.9,-7.85,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:17,29.0,-7.81,34.8,1,0,7,-1,23.7,22.9,23.7,21.5
2024-10-14 08:49:18,28.9,-7.61,34.8,1,0,7,-1,23.8,22.9,23.7,21.5
2024-10-14 08:49:19,29.0,-7.81,34.8,1,0,7,-1,23.8,22.9,23.7,21.5
2024-10-14 08:49:20,29.1,-7.77,34.8,1,0,7,-1,23.8,22.9,23.7,21.5
2024-10-14 08:49:21,29.0,-7.76,34.8,1,0,7,-1,23.8,22.9,23.7,21.5
2024-10-14 08:49:22,29.0,-7.73,34.8,1,0,7,-1,23.8,22.9,23.7,21.5
2024-10-14 08:49:23,28.9,-7.69,34.8,1,0,7,-1,23.8,22.9,23.8,21.5
2024-10-14 08:49:24,28.8,-7.67,34.8,1,0,7,-1,23.7,22.9,23.8,21.5
2024-10-14 08:49:25,28.9,-7.75,34.8,1,0,7,-1,23.7,22.9,23.8,21.5
2024-10-14 08:49:26,29.0,-7.64,34.8,1,0,7,-1,23.7,22.9,23.8,21.5
2024-10-14 08:49:27,29.0,-7.76,34.8,1,0,7,-1,23.7,22.9,23.8,21.5
2024-10-14 08:49:28,28.9,-7.76,34.8,1,0,7,-1,23.7,22.9,23.8,21.5
2024-10-14 08:49:29,29.0,-7.75,34.8,1,0,7,-1,23.7,22.9,23.7,21.4
2024-10-14 08:49:30,28.9,-7.94,34.8,1,0,7,-1,23.7,22.9,23.7,21.4
2024-10-14 08:49:31,29.0,-7.66,34.8,1,0,7,-1,23.7,22.9,23.7,21.4
2024-10-14 08:49:32,28.9,-7.64,34.8,1,0,7,-1,23.7,22.9,23.7,21.4
2024-10-14 08:49:33,29.0,-7.66,34.8,1,0,7,-1,23.7,22.9,23.7,21.4
2024-10-14 08:49:34,29.0,-7.65,34.8,1,0,7,-1,23.7,22.9,23.7,21.4
2024-10-14 08:49:35,29.0,-7.75,34.8,1,0,7,-1,23.7,22.9,23.7,21.6
2024-10-14 08:49:36,29.0,-7.78,34.8,1,0,7,-1,23.7,22.9,23.9,21.6
2024-10-14 08:49:37,29.0,-7.84,34.8,1,0,7,-1,23.7,22.9,23.9,21.6
