Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
0;0,352;-0,932;0,015;-0,186;14,186;0;;;;Root;DataStructureVersion;String;"V1.0"
0,625;0,308;-0,934;0,457;-0,186;14,188;0;;;;Root;DataColumnCount;Integer;7
1,25;0,372;-0,932;-0,32;-0,186;14,186;0;;;;Root;Format;Group;
1,875;0,304;-0,933;0,966;-0,186;14,188;0;;;;Format;ListSeparator;String;";"
2,5;0,358;-0,932;0,886;-0,186;14,186;0;;;;Format;DecimalSeparator;String;","
3,125;0,317;-0,943;-0,608;-0,188;14,187;0;;;;Format;GroupSeparator;String;"."
3,75;0,341;-0,934;-0,176;-0,186;14,187;0;;;;Root;Header;Group;
4,375;0,351;-0,943;1,927;-0,188;14,187;0;;;;Header;ContentDescription;String;Kollmorgen WorkBench Scope
5;0,3;-0,939;0,325;-0,187;14,187;0;;;;Header;UserNote;String;
5,625;0,347;-0,936;0,263;-0,187;14,186;0;;;;Header;ExportDate;DateTime;2024-10-15 10:25:48 UTC
6,25;0,296;-0,933;-0,943;-0,186;14,188;0;;;;Root;XYTraceSources;Array(Group);6
6,875;0,353;-0,938;1,242;-0,187;14,188;0;;;;XYTraceSources;XYTraceSource[0];Group;
7,5;0,319;-0,938;-1,404;-0,187;14,186;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;0
8,125;0,322;-0,938;1,999;-0,187;14,187;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;1
8,75;0,339;-0,938;0,011;-0,187;14,186;0;;;;XYTraceSource[0];Name;String;[Axis1] Current feedback
9,375;0,292;-0,931;-1,492;-0,186;14,188;0;;;;XYTraceSource[0];Unit;String;Arms
10;0,347;-0,933;0,324;-0,186;14,186;0;;;;XYTraceSource[0];DeviceName;String;"IL.FB"
10,625;0,296;-0,936;1,776;-0,187;14,188;0;;;;XYTraceSource[0];FilterRequired;Boolean;False
11,25;0,342;-0,935;0,723;-0,187;14,187;0;;;;XYTraceSource[0];FilterFrequency;Integer;400
11,875;0,322;-0,936;-0,211;-0,187;14,187;0;;;;XYTraceSources;XYTraceSource[1];Group;
12,5;0,301;-0,939;1,933;-0,187;14,189;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;0
13,125;0,342;-0,938;-0,969;-0,187;14,186;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;2
13,75;0,289;-0,938;0,51;-0,187;14,188;0;;;;XYTraceSource[1];Name;String;[Axis1] Velocity command
14,375;0,341;-0,942;0,603;-0,188;14,187;0;;;;XYTraceSource[1];Unit;String;mm/s
15;0,281;-0,945;-0,044;-0,189;14,188;0;;;;XYTraceSource[1];DeviceName;String;"VL.CMD"
15,625;0,33;-0,934;-0,674;-0,186;14,187;0;;;;XYTraceSource[1];FilterRequired;Boolean;False
16,25;0,308;-0,936;-1,558;-0,187;14,187;0;;;;XYTraceSource[1];FilterFrequency;Integer;400
16,875;0,286;-0,938;0,635;-0,187;14,188;0;;;;XYTraceSources;XYTraceSource[2];Group;
17,5;0,338;-0,937;-0,126;-0,187;14,187;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;0
18,125;0,275;-0,939;-1,252;-0,188;14,188;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;3
18,75;0,327;-0,934;0,533;-0,186;14,187;0;;;;XYTraceSource[2];Name;String;[Axis1] Velocity feedback
19,375;0,286;-0,939;-1,891;-0,188;14,188;0;;;;XYTraceSource[2];Unit;String;mm/s
20;0,308;-0,941;1,118;-0,188;14,188;0;;;;XYTraceSource[2];DeviceName;String;"VL.FB"
20,625;0,318;-0,942;-0,757;-0,188;14,186;0;;;;XYTraceSource[2];FilterRequired;Boolean;False
21,25;0,278;-0,938;1,722;-0,187;14,188;0;;;;XYTraceSource[2];FilterFrequency;Integer;400
21,875;0,327;-0,94;0,109;-0,188;14,187;0;;;;XYTraceSources;XYTraceSource[3];Group;
22,5;0,277;-0,945;0,273;-0,189;14,189;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;0
23,125;0,334;-0,94;0,562;-0,188;14,188;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;4
23,75;0,288;-0,946;0,102;-0,189;14,188;0;;;;XYTraceSource[3];Name;String;[Axis1] Position error
24,375;0,3;-0,936;-0,518;-0,187;14,187;0;;;;XYTraceSource[3];Unit;String;mm
25;0,312;-0,936;-0,915;-0,187;14,187;0;;;;XYTraceSource[3];DeviceName;String;"PL.ERR"
25,625;0,274;-0,939;1,337;-0,187;14,189;0;;;;XYTraceSource[3];FilterRequired;Boolean;False
26,25;0,318;-0,936;-1,335;-0,187;14,187;0;;;;XYTraceSource[3];FilterFrequency;Integer;400
26,875;0,274;-0,937;-0,894;-0,187;14,188;0;;;;XYTraceSources;XYTraceSource[4];Group;
27,5;0,319;-0,942;-0,378;-0,188;14,187;0;;;;XYTraceSource[4];XDataColumnIndex;Integer;0
28,125;0,289;-0,944;0,864;-0,188;14,188;0;;;;XYTraceSource[4];XDataColumnIndex;Integer;5
28,75;0,292;-0,942;-1,364;-0,188;14,188;0;;;;XYTraceSource[4];Name;String;[Axis1] Position feedback
29,375;0,308;-0,947;1,118;-0,189;14,187;0;;;;XYTraceSource[4];Unit;String;mm
30;0,26;-0,944;-0,281;-0,188;14,189;0;;;;XYTraceSource[4];DeviceName;String;"PL.FB"
30,625;0,317;-0,947;-0,348;-0,189;14,188;0;;;;XYTraceSource[4];FilterRequired;Boolean;False
31,25;0,249;-0,952;1,591;-0,19;14,189;0;;;;XYTraceSource[4];FilterFrequency;Integer;400
31,875;0,316;-0,94;-1,118;-0,188;14,188;0;;;;XYTraceSources;XYTraceSource[5];Group;
32,5;0,288;-0,942;0,317;-0,188;14,188;0;;;;XYTraceSource[5];XDataColumnIndex;Integer;0
33,125;0,279;-0,943;0,077;-0,188;14,189;0;;;;XYTraceSource[5];XDataColumnIndex;Integer;6
33,75;0,308;-0,943;1,645;-0,188;14,188;0;;;;XYTraceSource[5];Name;String;[Axis1] External feed-forward
34,375;0,255;-0,941;-0,964;-0,188;14,189;0;;;;XYTraceSource[5];Unit;String;Arms
35;0,313;-0,941;1,425;-0,188;14,188;0;;;;XYTraceSource[5];DeviceName;String;"IL.BUSFF"
35,625;0,256;-0,948;-0,402;-0,189;14,188;0;;;;XYTraceSource[5];FilterRequired;Boolean;False
36,25;0,304;-0,927;-2,532;-0,185;14,186;0;;;;XYTraceSource[5];FilterFrequency;Integer;400
36,875;0,281;-0,934;-1,577;-0,186;14,186;0;;;;;;;
37,5;0,263;-0,936;-0,5;-0,187;14,187;0;;;;;;;
38,125;0,307;-0,934;-1,393;-0,186;14,185;0;;;;;;;
38,75;0,25;-0,939;0,477;-0,187;14,186;0;;;;;;;
39,375;0,305;-0,929;-0,54;-0,185;14,186;0;;;;;;;
40;0,258;-0,94;1,853;-0,188;14,187;0;;;;;;;
40,625;0,282;-0,932;0,316;-0,186;14,186;0;;;;;;;
41,25;0,27;-0,936;-0,189;-0,187;14,186;0;;;;;;;
41,875;0,256;-0,924;-3,598;-0,185;14,185;0;;;;;;;
