Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
0;-0,187;0,68;-1,449;0,136;0,061;0;;;;Root;DataStructureVersion;String;"V1.0"
0,625;-0,241;0,689;0,607;0,138;0,065;0;;;;Root;DataColumnCount;Integer;7
1,25;-0,207;0,677;-0,631;0,135;0,063;0;;;;Root;Format;Group;
1,875;-0,215;0,681;0,884;0,136;0,062;0;;;;Format;ListSeparator;String;";"
2,5;-0,229;0,685;-0,118;0,137;0,063;0;;;;Format;DecimalSeparator;String;","
3,125;-0,185;0,682;-2,02;0,136;0,059;0;;;;Format;GroupSeparator;String;"."
3,75;-0,231;0,689;3,078;0,138;0,066;0;;;;Root;Header;Group;
4,375;-0,186;0,683;-2,835;0,136;0,061;0;;;;Header;ContentDescription;String;Kollmorgen WorkBench Scope
5;-0,235;0,696;0,258;0,139;0,063;0;;;;Header;UserNote;String;
5,625;-0,206;0,691;1,374;0,138;0,063;0;;;;Header;ExportDate;DateTime;2024-10-15 10:29:09 UTC
6,25;-0,201;0,698;-1,934;0,139;0,062;0;;;;Root;XYTraceSources;Array(Group);6
6,875;-0,228;0,689;2,021;0,138;0,065;0;;;;XYTraceSources;XYTraceSource[0];Group;
7,5;-0,175;0,69;-2,922;0,138;0,061;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;0
8,125;-0,231;0,689;0,256;0,138;0,065;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;1
8,75;-0,183;0,677;0,626;0,135;0,062;0;;;;XYTraceSource[0];Name;String;[Axis1] Current feedback
9,375;-0,224;0,678;0,664;0,135;0,065;0;;;;XYTraceSource[0];Unit;String;Arms
10;-0,194;0,678;-0,025;0,135;0,063;0;;;;XYTraceSource[0];DeviceName;String;"IL.FB"
10,625;-0,194;0,679;-0,095;0,136;0,062;0;;;;XYTraceSource[0];FilterRequired;Boolean;False
11,25;-0,221;0,685;-0,243;0,137;0,064;0;;;;XYTraceSource[0];FilterFrequency;Integer;400
11,875;-0,176;0,676;1,31;0,135;0,061;0;;;;XYTraceSources;XYTraceSource[1];Group;
12,5;-0,227;0,684;1,928;0,137;0,065;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;0
13,125;-0,173;0,685;-2,058;0,137;0,062;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;2
13,75;-0,22;0,7;-1,117;0,14;0,064;0;;;;XYTraceSource[1];Name;String;[Axis1] Velocity command
14,375;-0,198;0,694;0,982;0,139;0,065;0;;;;XYTraceSource[1];Unit;String;mm/s
15;-0,183;0,689;0,427;0,138;0,063;0;;;;XYTraceSource[1];DeviceName;String;"VL.CMD"
15,625;-0,221;0,69;-0,712;0,138;0,065;0;;;;XYTraceSource[1];FilterRequired;Boolean;False
16,25;-0,182;0,68;1,032;0,136;0,061;0;;;;XYTraceSource[1];FilterFrequency;Integer;400
16,875;-0,22;0,69;2,388;0,138;0,065;0;;;;XYTraceSources;XYTraceSource[2];Group;
17,5;-0,157;0,676;1,769;0,135;0,063;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;0
18,125;-0,195;0,681;-0,612;0,136;0,063;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;3
18,75;-0,195;0,684;-0,956;0,136;0,063;0;;;;XYTraceSource[2];Name;String;[Axis1] Velocity feedback
19,375;-0,151;0,677;2,04;0,135;0,061;0;;;;XYTraceSource[2];Unit;String;mm/s
20;-0,21;0,692;-0,955;0,138;0,064;0;;;;XYTraceSource[2];DeviceName;String;"VL.FB"
20,625;-0,161;0,677;0,45;0,135;0,061;0;;;;XYTraceSource[2];FilterRequired;Boolean;False
21,25;-0,206;0,696;1,204;0,139;0,065;0;;;;XYTraceSource[2];FilterFrequency;Integer;400
21,875;-0,166;0,687;0,442;0,137;0,062;0;;;;XYTraceSources;XYTraceSource[3];Group;
22,5;-0,182;0,691;0,18;0,138;0,062;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;0
23,125;-0,2;0,695;-0,091;0,139;0,064;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;4
23,75;-0,159;0,689;0,813;0,138;0,061;0;;;;XYTraceSource[3];Name;String;[Axis1] Position error
24,375;-0,176;2,141;1,429;0,139;0,064;0;;;;XYTraceSource[3];Unit;String;mm
25;-0,121;6,485;-3,854;0,141;0,061;0;;;;XYTraceSource[3];DeviceName;String;"PL.ERR"
25,625;-0,163;9,398;-1,151;0,145;0,062;0;;;;XYTraceSource[3];FilterRequired;Boolean;False
26,25;-0,118;13,771;-1,487;0,153;0,062;0;;;;XYTraceSource[3];FilterFrequency;Integer;400
26,875;-0,105;16,693;0,819;0,16;0,061;0;;;;XYTraceSources;XYTraceSource[4];Group;
27,5;-0,114;21,105;-3,188;0,175;0,062;0;;;;XYTraceSource[4];XDataColumnIndex;Integer;0
28,125;-0,04;24,049;-0,015;0,186;0,059;0;;;;XYTraceSource[4];XDataColumnIndex;Integer;5
28,75;-0,071;28,491;-1,451;0,208;0,062;0;;;;XYTraceSource[4];Name;String;[Axis1] Position feedback
29,375;0,021;31,444;0,813;0,22;0,062;0;;;;XYTraceSource[4];Unit;String;mm
30;0,002;35,879;9,235;0,24;0,068;0;;;;XYTraceSource[4];DeviceName;String;"PL.FB"
30,625;0,056;38,821;17,315;0,251;0,078;0;;;;XYTraceSource[4];FilterRequired;Boolean;False
31,25;0,073;43,213;28,53;0,262;0,095;0;;;;XYTraceSource[4];FilterFrequency;Integer;400
31,875;0,055;46,138;30,716;0,269;0,116;0;;;;XYTraceSources;XYTraceSource[5];Group;
32,5;0,111;50,505;36,006;0,276;0,136;0;;;;XYTraceSource[5];XDataColumnIndex;Integer;0
33,125;0,073;53,422;44,105;0,281;0,166;0;;;;XYTraceSource[5];XDataColumnIndex;Integer;6
33,75;0,146;57,777;43,496;0,285;0,189;0;;;;XYTraceSource[5];Name;String;[Axis1] External feed-forward
34,375;0,133;60,759;14,492;0,304;0,201;0;;;;XYTraceSource[5];Unit;String;Arms
35;0,233;65,269;10,791;0,339;0,208;0;;;;XYTraceSource[5];DeviceName;String;"IL.BUSFF"
35,625;0,375;68,299;9,963;0,367;0,213;0;;;;XYTraceSource[5];FilterRequired;Boolean;False
36,25;0,503;72,828;17,991;0,406;0,227;0;;;;XYTraceSource[5];FilterFrequency;Integer;400
36,875;0,663;75,806;35,809;0,424;0,245;0;;;;;;;
37,5;0,684;80,277;49,102;0,451;0,28;0;;;;;;;
38,125;0,731;83,199;63,752;0,457;0,318;0;;;;;;;
38,75;0,681;87,564;81,118;0,463;0,37;0;;;;;;;
39,375;0,635;90,442;91,223;0,461;0,427;0;;;;;;;
40;0,597;94,747;96,696;0,455;0,485;0;;;;;;;
40,625;0,501;97,622;98,304;0,452;0,549;0;;;;;;;
41,25;0,526;101,919;104,33;0,445;0,611;0;;;;;;;
