Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
0;0,3;-0,746;-0,076;-0,149;14,149;0;;;;Root;DataStructureVersion;String;"V1.0"
0,625;0,255;-0,742;-0,128;-0,148;14,15;0;;;;Root;DataColumnCount;Integer;7
1,25;0,304;-0,744;0,021;-0,148;14,149;0;;;;Root;Format;Group;
1,875;0,25;-0,744;0,482;-0,149;14,15;0;;;;Format;ListSeparator;String;";"
2,5;0,312;-0,749;-0,833;-0,149;14,149;0;;;;Format;DecimalSeparator;String;","
3,125;0,278;-0,748;0,175;-0,149;14,15;0;;;;Format;GroupSeparator;String;"."
3,75;0,274;-0,749;-1,518;-0,149;14,149;0;;;;Root;Header;Group;
4,375;0,317;-0,75;2,157;-0,15;14,149;0;;;;Header;ContentDescription;String;Kollmorgen WorkBench Scope
5;0,252;-0,748;-0,31;-0,149;14,15;0;;;;Header;UserNote;String;
5,625;0,304;-0,749;2,141;-0,15;14,15;0;;;;Header;ExportDate;DateTime;2024-10-15 10:11:39 UTC
6,25;0,251;-0,747;0,672;-0,149;14,15;0;;;;Root;XYTraceSources;Array(Group);6
6,875;0,298;-0,746;-0,817;-0,149;14,149;0;;;;XYTraceSources;XYTraceSource[0];Group;
7,5;0,281;-0,749;1,207;-0,15;14,149;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;0
8,125;0,267;-0,742;0,287;-0,148;14,149;0;;;;XYTraceSource[0];XDataColumnIndex;Integer;1
8,75;0,301;-0,745;-1,521;-0,149;14,149;0;;;;XYTraceSource[0];Name;String;[Axis1] Current feedback
9,375;0,25;-0,742;-2,23;-0,148;14,149;0;;;;XYTraceSource[0];Unit;String;Arms
10;0,311;-0,747;-1,264;-0,149;14,148;0;;;;XYTraceSource[0];DeviceName;String;"IL.FB"
10,625;0,258;-0,75;-0,017;-0,15;14,15;0;;;;XYTraceSource[0];FilterRequired;Boolean;False
11,25;0,279;-0,755;1,169;-0,151;14,15;0;;;;XYTraceSource[0];FilterFrequency;Integer;400
11,875;0,266;-0,75;0,33;-0,15;14,149;0;;;;XYTraceSources;XYTraceSource[1];Group;
12,5;0,252;-0,756;0,574;-0,151;14,149;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;0
13,125;0,29;-0,755;1,897;-0,151;14,15;0;;;;XYTraceSource[1];XDataColumnIndex;Integer;2
13,75;0,248;-0,741;-3,372;-0,148;14,149;0;;;;XYTraceSource[1];Name;String;[Axis1] Velocity command
14,375;0,303;-0,733;-9,458;-0,146;14,144;0;;;;XYTraceSource[1];Unit;String;mm/s
15;0,258;-0,703;-10,482;-0,14;14,14;0;;;;XYTraceSource[1];DeviceName;String;"VL.CMD"
15,625;0,307;-0,691;-3,845;-0,138;14,139;0;;;;XYTraceSource[1];FilterRequired;Boolean;False
16,25;0,31;-0,694;-0,703;-0,139;14,139;0;;;;XYTraceSource[1];FilterFrequency;Integer;400
16,875;0,264;-0,698;0,929;-0,139;14,14;0;;;;XYTraceSources;XYTraceSource[2];Group;
17,5;0,32;-0,694;-2,104;-0,139;14,137;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;0
18,125;0,263;-0,694;0,559;-0,138;14,14;0;;;;XYTraceSource[2];XDataColumnIndex;Integer;3
18,75;0,312;-0,696;-0,72;-0,139;14,138;0;;;;XYTraceSource[2];Name;String;[Axis1] Velocity feedback
19,375;0,27;-0,702;-0,952;-0,14;14,139;0;;;;XYTraceSource[2];Unit;String;mm/s
20;0,278;-0,695;0,068;-0,139;14,139;0;;;;XYTraceSource[2];DeviceName;String;"VL.FB"
20,625;0,297;-0,696;1,46;-0,139;14,138;0;;;;XYTraceSource[2];FilterRequired;Boolean;False
21,25;0,254;-0,695;0,923;-0,139;14,139;0;;;;XYTraceSource[2];FilterFrequency;Integer;400
21,875;0,308;-0,693;-0,587;-0,138;14,138;0;;;;XYTraceSources;XYTraceSource[3];Group;
22,5;0,244;-0,688;-1,245;-0,137;14,139;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;0
23,125;0,307;-0,692;0,408;-0,138;14,138;0;;;;XYTraceSource[3];XDataColumnIndex;Integer;4
23,75;0,27;-0,692;-1,697;-0,138;14,138;0;;;;XYTraceSource[3];Name;String;[Axis1] Position error
24,375;0,275;-0,693;1,383;-0,138;14,138;0;;;;XYTraceSource[3];Unit;String;mm
25;0,3;-0,694;-0,842;-0,138;14,137;0;;;;XYTraceSource[3];DeviceName;String;"PL.ERR"
25,625;0,252;-0,692;-1,244;-0,138;14,14;0;;;;XYTraceSource[3];FilterRequired;Boolean;False
26,25;0,297;-0,695;-0,916;-0,139;14,138;0;;;;XYTraceSource[3];FilterFrequency;Integer;400
26,875;0,244;-0,692;-0,409;-0,138;14,139;0;;;;XYTraceSources;XYTraceSource[4];Group;
27,5;0,305;-0,698;0,032;-0,139;14,139;0;;;;XYTraceSource[4];XDataColumnIndex;Integer;0
28,125;0,273;-0,697;0,412;-0,139;14,138;0;;;;XYTraceSource[4];XDataColumnIndex;Integer;5
28,75;0,264;-0,698;-0,282;-0,139;14,139;0;;;;XYTraceSource[4];Name;String;[Axis1] Position feedback
29,375;0,303;-0,7;-0,761;-0,14;14,138;0;;;;XYTraceSource[4];Unit;String;mm
30;0,241;-0,693;-0,141;-0,138;14,139;0;;;;XYTraceSource[4];DeviceName;String;"PL.FB"
30,625;0,3;-0,699;-0,709;-0,139;14,139;0;;;;XYTraceSource[4];FilterRequired;Boolean;False
31,25;0,237;-0,69;-0,67;-0,138;14,139;0;;;;XYTraceSource[4];FilterFrequency;Integer;400
31,875;0,284;-0,695;1,649;-0,139;14,139;0;;;;XYTraceSources;XYTraceSource[5];Group;
32,5;0,264;-0,694;0,474;-0,139;14,138;0;;;;XYTraceSource[5];XDataColumnIndex;Integer;0
33,125;0,258;-0,692;0,096;-0,138;14,139;0;;;;XYTraceSource[5];XDataColumnIndex;Integer;6
33,75;0,29;-0,693;-0,113;-0,138;14,139;0;;;;XYTraceSource[5];Name;String;[Axis1] External feed-forward
34,375;0,243;-0,695;-0,1;-0,139;14,139;0;;;;XYTraceSource[5];Unit;String;Arms
35;0,293;-0,7;1,871;-0,14;14,138;0;;;;XYTraceSource[5];DeviceName;String;"IL.BUSFF"
35,625;0,194;-3,59;3,917;-0,14;14,14;0;;;;XYTraceSource[5];FilterRequired;Boolean;False
36,25;0,221;-7,956;0,013;-0,146;14,14;0;;;;XYTraceSource[5];FilterFrequency;Integer;400
36,875;0,201;-10,868;0,058;-0,151;14,141;0;;;;;;;
37,5;0,143;-15,253;2,184;-0,161;14,143;0;;;;;;;
38,125;0,177;-18,19;3,591;-0,17;14,143;0;;;;;;;
38,75;0,093;-22,594;-0,125;-0,184;14,144;0;;;;;;;
39,375;0,133;-25,55;1,421;-0,197;14,142;0;;;;;;;
40;0,071;-29,975;-0,806;-0,215;14,142;0;;;;;;;
40,625;0,046;-32,936;-3,403;-0,23;14,14;0;;;;;;;
41,25;0,028;-37,361;-12,999;-0,248;14,131;0;;;;;;;
41,875;-0,028;-40,274;-31,616;-0,252;14,113;0;;;;;;;
42,5;0,022;-44,618;-44,868;-0,254;14,084;0;;;;;;;
43,125;-0,025;-47,479;-58,53;-0,249;14,049;0;;;;;;;
43,75;0,031;-51,75;-66,069;-0,236;14,008;0;;;;;;;
44,375;0,005;-54,719;-10,07;-0,252;14;0;;;;;;;
45;-0,028;-59,163;-30,17;-0,274;13,983;0;;;;;;;
45,625;-0,05;-62,129;-24,289;-0,289;13,966;0;;;;;;;
46,25;-0,115;-66,598;-25,606;-0,316;13,951;0;;;;;;;
46,875;-0,118;-69,587;-26,772;-0,336;13,932;0;;;;;;;
47,5;-0,235;-74,06;-32,187;-0,363;13,914;0;;;;;;;
48,125;-0,266;-77,048;-35,988;-0,383;13,891;0;;;;;;;
48,75;-0,394;-81,509;-45,942;-0,408;13,863;0;;;;;;;
49,375;-0,452;-84,459;-59,108;-0,42;13,826;0;;;;;;;
50;-0,466;-88,843;-74,543;-0,43;13,78;0;;;;;;;
50,625;-0,513;-91,738;-87,644;-0,431;13,726;0;;;;;;;
51,25;-0,449;-96,065;-95,303;-0,43;13,667;0;;;;;;;
51,875;-0,462;-98,945;-99,029;-0,428;13,605;0;;;;;;;
52,5;-0,41;-103,268;-98,237;-0,426;13,544;0;;;;;;;
53,125;-0,419;-106,163;-97,991;-0,427;13,483;0;;;;;;;
53,75;-0,436;-110,519;-96,767;-0,431;13,421;0;;;;;;;
54,375;-0,43;-113,428;-98,258;-0,435;13,36;0;;;;;;;
55;-0,506;-117,802;-103,323;-0,443;13,295;0;;;;;;;
55,625;-0,484;-120,699;-115,547;-0,444;13,223;0;;;;;;;
56,25;-0,507;-125,015;-127,84;-0,441;13,143;0;;;;;;;
56,875;-0,444;-127,837;-157,413;-0,427;13,046;0;;;;;;;
57,5;-0,386;-132,176;-90,89;-0,428;12,983;0;;;;;;;
58,125;-0,45;-135,132;-105,685;-0,441;12,918;0;;;;;;;
58,75;-0,537;-139,624;-83,296;-0,473;12,867;0;;;;;;;
59,375;-0,723;-142,646;-83,948;-0,499;12,813;0;;;;;;;
60;-0,846;-147,175;-85,604;-0,538;12,76;0;;;;;;;
60,625;-1,009;-150,189;-95,086;-0,563;12,7;0;;;;;;;
61,25;-1,079;-154,675;-108,343;-0,593;12,632;0;;;;;;;
61,875;-1,114;-157,649;-118,873;-0,61;12,559;0;;;;;;;
62,5;-1,133;-162,107;-124,701;-0,635;12,479;0;;;;;;;
63,125;-1,14;-165,056;-129,96;-0,647;12,4;0;;;;;;;
63,75;-1,176;-169,483;-136,153;-0,665;12,313;0;;;;;;;
64,375;-1,187;-172,438;-140,372;-0,678;12,227;0;;;;;;;
65;-1,238;-176,87;-143,568;-0,698;12,139;0;;;;;;;
65,625;-1,266;-179,824;-148,407;-0,71;12,044;0;;;;;;;
66,25;-1,287;-184,246;-150,75;-0,728;11,953;0;;;;;;;
66,875;-1,299;-187,193;-159,32;-0,739;11,85;0;;;;;;;
67,5;-1,325;-191,579;-162,233;-0,75;11,752;0;;;;;;;
68,125;-1,318;-194,526;-169,595;-0,761;11,645;0;;;;;;;
68,75;-1,322;-198,915;-169,192;-0,772;11,541;0;;;;;;;
69,375;-1,333;-201,862;-169,571;-0,783;11,435;0;;;;;;;
70;-1,368;-206,287;-172,405;-0,802;11,325;0;;;;;;;
70,625;-1,426;-209,237;-174,318;-0,814;11,219;0;;;;;;;
71,25;-1,454;-213,675;-178,309;-0,834;11,104;0;;;;;;;
71,875;-1,564;-216,614;-182,883;-0,844;10,993;0;;;;;;;
72,5;-1,57;-221,039;-190,108;-0,862;10,873;0;;;;;;;
73,125;-1,65;-223,972;-195,352;-0,871;10,751;0;;;;;;;
73,75;-1,661;-228,374;-199,504;-0,884;10,626;0;;;;;;;
74,375;-1,666;-231,31;-205,621;-0,894;10,497;0;;;;;;;
75;-1,72;-235,685;-211,424;-0,902;10,367;0;;;;;;;
75,625;-1,686;-238,579;-226,331;-0,903;10,224;0;;;;;;;
76,25;-1,699;-242,903;-234,404;-0,901;10,08;0;;;;;;;
76,875;-1,589;-245,783;-241,993;-0,899;9,928;0;;;;;;;
77,5;-1,594;-250,101;-238,268;-0,895;9,779;0;;;;;;;
78,125;-1,576;-252,973;-250,56;-0,892;9,624;0;;;;;;;
78,75;-1,543;-257,253;-264,508;-0,881;9,458;0;;;;;;;
79,375;-1,557;-260,074;-283,104;-0,867;9,282;0;;;;;;;
80;-1,43;-262,168;-303,863;-0,832;9,092;0;;;;;;;
80,625;-1,381;-262,006;-318,466;-0,8;8,893;0;;;;;;;
81,25;-1,202;-261,737;-321,84;-0,746;8,691;0;;;;;;;
81,875;-1,079;-261,556;-316,051;-0,71;8,495;0;;;;;;;
82,5;-0,97;-261,361;-294,251;-0,671;8,312;0;;;;;;;
83,125;-0,9;-261,304;-265,582;-0,66;8,145;0;;;;;;;
83,75;-1,04;-261,322;-235,833;-0,663;7,995;0;;;;;;;
84,375;-1,176;-261,378;-222,635;-0,674;7,856;0;;;;;;;
85;-1,396;-261,518;-210,88;-0,702;7,723;0;;;;;;;
85,625;-1,576;-261,612;-212,147;-0,721;7,591;0;;;;;;;
86,25;-1,702;-261,741;-219,006;-0,747;7,455;0;;;;;;;
